"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"COFORGE","Coforge Limited","7(2)","Gautam Samanta","Key Managerial Personnel","Equity Shares","15105","0.02",,"10000","68830000","Sell","Equity Shares","5105","0","11-Sep-2024","11-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 20:42","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170936_1244210_16092024084220_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Niraj Kumar Rana","Employees/Designated Employees","Equity Shares","23469","0.02",,"1000","7800000","Sell","Equity Shares","22469","0.02","12-Sep-2024","12-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 20:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170933_1244200_16092024083537_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Gopal Yadav","Employees/Designated Employees","Equity Shares","42","0",,"42","318150","Sell","Equity Shares","Nil","0","11-Sep-2024","11-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 20:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170933_1244200_16092024083537_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Shantanu Mathur","Employees/Designated Employees","Equity Shares","4365","0",,"200","1549000","Sell","Equity Shares","4165","0","16-Sep-2024","16-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 20:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170933_1244200_16092024083537_WEB.xml"
"HCLTECH","HCL Technologies Limited","7(2)","ANIL GANJOO","-","Equity Shares","395045","0.02",,"20000","36246751","Sell","Equity Shares","375045","0.01","13-Sep-2024","13-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 19:49","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170929_1244173_16092024074950_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Swapnil Ajit Aradkar","Employees/Designated Employees","Equity Shares","6626","0",,"432","1183723","Buy","Equity Shares","7058","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170927_1244158_16092024072832_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","VINOD KUMAR SAHAY","Employees/Designated Employees","Equity Shares","2000","0",,"1000","2740100","Buy","Equity Shares","3000","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:28","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170927_1244158_16092024072832_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Sunil Johnson","Employees/Designated Employees","Equity Shares","11307","0",,"2502","6855730","Buy","Equity Shares","13809","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:25","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170925_1244150_16092024072530_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Abanti  Sankaranarayanan","Employees/Designated Employees","Equity Shares","Nil","0",,"3100","8494310","Buy","Equity Shares","3100","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170923_1244147_16092024072121_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Vinay Khanolkar","Employees/Designated Employees","Equity Shares","12668","0",,"700","1918070","Buy","Equity Shares","13368","0","13-Sep-2024","13-Sep-2024","13-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170923_1244147_16092024072121_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Vikas Nadgir","Employees/Designated Employees","Equity Shares","1014","0",,"564","1545416","Buy","Equity Shares","1578","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170923_1244147_16092024072121_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","BHUWAN LODHA","Employees/Designated Employees","Equity Shares","3000","0",,"1000","2740100","Buy","Equity Shares","4000","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170923_1244147_16092024072121_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Anusha Kothandaraman","Employees/Designated Employees","Equity Shares","500","0",,"992","2718179","Buy","Equity Shares","1492","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:21","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170923_1244147_16092024072121_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Santanu Sinha","Employees/Designated Employees","Equity Shares","4375","0",,"1158","3173036","Buy","Equity Shares","5533","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170922_1244145_16092024072041_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Mr. Vetsa Sitaramayya","Employees/Designated Employees","Equity Shares","8551","0",,"952","2608575","Buy","Equity Shares","9503","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170922_1244145_16092024072041_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Ritesh Agrawal","Employees/Designated Employees","Equity Shares","13546","0",,"341","941194","Buy","Equity Shares","13887","0","23-Aug-2024","23-Aug-2024","13-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170922_1244145_16092024072041_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Ravi Poojary","Employees/Designated Employees","Equity Shares","2712","0",,"904","2477050","Buy","Equity Shares","3616","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170922_1244145_16092024072041_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Ritesh Agrawal","Employees/Designated Employees","Equity Shares","13887","0",,"837","2293464","Buy","Equity Shares","14724","0","13-Sep-2024","13-Sep-2024","13-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:20","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170922_1244145_16092024072041_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","R. Veeraraghavan","Employees/Designated Employees","Equity Shares","5076","0",,"1772","4855457","Buy","Equity Shares","6848","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170919_1244132_16092024070659_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","K SENTHUR PANDIAN","Employees/Designated Employees","Equity Shares","9235","0",,"1000","2740100","Buy","Equity Shares","10235","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170919_1244132_16092024070659_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","K SENTHUR PANDIAN","Employees/Designated Employees","Equity Shares","9234","0",,"1","2797","Buy","Equity Shares","9235","0","27-Aug-2024","27-Aug-2024","16-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","16-Sep-2024 19:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170919_1244132_16092024070659_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Bharat Goenka","Employees/Designated Employees","Equity Shares","5682","0",,"2100","5754210","Buy","Equity Shares","7782","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170919_1244132_16092024070659_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Bharat Goenka","Employees/Designated Employees","Equity Shares","6042","0",,"360","992520","Sell","Equity Shares","5682","0","23-Aug-2024","23-Aug-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 19:07","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170919_1244132_16092024070659_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Rakesh Shrinivas Pawaskar","Employees/Designated Employees","Equity Shares","10000","0",,"1429","3915603","Buy","Equity Shares","11429","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170918_1244129_16092024070446_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Jalaj Gupta","Employees/Designated Employees","Equity Shares","8769","0",,"3429","9395803","Buy","Equity Shares","12198","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170918_1244129_16092024070446_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Mukund Paranjape","Employees/Designated Employees","Equity Shares","8594","0",,"100","282000","Sell","Equity Shares","8494","0","16-Aug-2024","16-Aug-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 19:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170918_1244129_16092024070446_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Mahendra Apte","Employees/Designated Employees","Equity Shares","1845","0",,"606","1660501","Buy","Equity Shares","2451","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170918_1244129_16092024070446_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Mukund Paranjape","Employees/Designated Employees","Equity Shares","8494","0",,"550","1507055","Buy","Equity Shares","9044","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 19:04","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170918_1244129_16092024070446_WEB.xml"
"BERGEPAINT","Berger Paints (I) Limited","7(2)","Deeksha Gujral","Other","Equity Shares","5000","0",,"3500","2187445","Sell","Equity Shares","1500","0","16-Sep-2024","16-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170916_1244121_16092024065615_WEB.xml"
"BERGEPAINT","Berger Paints (I) Limited","7(2)","NIRMALAYA KUMAR","Employees/Designated Employees","Equity Shares","20391","0",,"500","310331","Sell","Equity Shares","19891","0","12-Sep-2024","12-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:56","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170916_1244121_16092024065615_WEB.xml"
"EDELWEISS","Edelweiss Financial Services Limited","7(2)","Edelweiss Employees Welfare Trust","Employees/Designated Employees","Equity Shares","22716270","2.41",,"2750000","341000000","Sell","Equity Shares","19966270","2.12","16-Sep-2024","16-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170913_1244101_16092024064423_WEB.xml"
"M&M","Mahindra & Mahindra Limited","7(2)","Rajesh Jejurikar","Director","Equity Shares","123960","0.01",,"3700","10268050","Sell","Equity Shares","120260","0.01","16-Sep-2024","16-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","BSE","-","16-Sep-2024 18:44","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170912_1244099_16092024064413_WEB.xml"
"RANEHOLDIN","Rane Holdings Limited","7(2)","Malavika Lakshman","Promoters","Equity Shares","21222","0.15",,"845","1974395","Buy","Equity Shares","22067","0.16","12-Sep-2024","13-Sep-2024","16-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:40","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170909_1244090_16092024064016_WEB.xml"
"KRITIKA","Kritika Wires Limited","7(2)","SUSHIL KUMAR AGARWAL","Promoters","Equity Shares","18300000","6.87",,"47","988","Sell","Equity Shares","18299953","6.87","13-Sep-2024","13-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:16","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170905_1244065_16092024061606_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","RISHIN KALRA","-","Equity Shares","21242","0.04",,"1000","2101981","Buy","Equity Shares","22242","0.04","30-Aug-2024","13-Sep-2024","13-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170903_1244052_16092024060822_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","RISHIN KALRA","-","Equity Shares","27747","0.05",,"6505","12056588","Sell","Equity Shares","21242","0.04","22-Aug-2024","13-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:08","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170903_1244052_16092024060822_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","PRASHANT DIWAKAR LOKHANDE","-","Equity Shares","114545","0.02",,"500","2707500","Sell","Equity Shares","114045","0.02","10-Sep-2024","10-Sep-2024","12-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170901_1244046_16092024060627_WEB.xml"
"BECTORFOOD","Mrs. Bectors Food Specialities Limited","7(2)","Rajeev Dubey","-","Equity Shares","590","0",,"3000","4801950","Buy","Equity Shares","3590","0.01","04-Sep-2024","04-Sep-2024","16-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170899_1244043_16092024060348_WEB.xml"
"BECTORFOOD","Mrs. Bectors Food Specialities Limited","7(2)","Rajeev Dubey","-","Equity Shares","5590","0.01",,"5000","7450650","Sell","Equity Shares","590","0","22-Aug-2024","22-Aug-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170899_1244043_16092024060348_WEB.xml"
"BECTORFOOD","Mrs. Bectors Food Specialities Limited","7(2)","Rajeev Dubey","-","Equity Shares","8590","0.01",,"3000","4194300","Sell","Equity Shares","5590","0.01","05-Jun-2024","05-Jun-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170899_1244043_16092024060348_WEB.xml"
"BECTORFOOD","Mrs. Bectors Food Specialities Limited","7(2)","Rajeev Dubey","-","Equity Shares","3590","0.01",,"3000","4801350","Sell","Equity Shares","590","0","04-Sep-2024","04-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170899_1244043_16092024060348_WEB.xml"
"DMART","Avenue Supermarts Limited","7(2)","PRASHANT DIWAKAR LOKHANDE","-","Equity Shares","116045","0.02",,"1500","8069500","Sell","Equity Shares","114545","0.02","09-Sep-2024","09-Sep-2024","10-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 18:03","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170898_1244040_16092024060308_WEB.xml"
"KIRLOSENG","Kirloskar Oil Engines Limited","7(2)","Aman Kirloskar","Promoter Group","Equity Shares","Nil","0",,"200","261827","Buy","Equity Shares","200","0","12-Sep-2024","12-Sep-2024","16-Sep-2024","Market Purchase","-","-","0","0","0","0","NSE","-","16-Sep-2024 17:55","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170896_1244028_16092024055543_WEB.xml"
"PRITIKA","Pritika Engineering Components Limited","7(2)","Pritika Auto Industries Limited","-","Equity Shares","9372508","71.1",,"38000","6460000","Sell","Equity Shares","9334508","70.81","13-Sep-2024","13-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 17:51","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170894_1244022_16092024055155_WEB.xml"
"COOLCAPS","Cool Caps Industries Limited","7(2)","Rishi Gourisaria","Promoter Group","Equity Shares","269000","2.33",,"120250","45584360","Sell","Equity Shares","148750","1.29","12-Sep-2024","13-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 17:48","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170891_1244018_16092024054806_WEB.xml"
"JINDALSTEL","Jindal Steel & Power Limited","7(2)","SARIKA JHUNJHNUWALA","Promoter Group","Equity Shares","507400","0.05",,"20000","19769200","Sell","Equity Shares","487400","0.05","12-Sep-2024","12-Sep-2024","13-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 17:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170889_1243992_16092024053531_WEB.xml"
"JINDALSTEL","Jindal Steel & Power Limited","7(2)","SARIKA JHUNJHNUWALA","Promoter Group","Equity Shares","522400","0.05",,"15000","14410542","Sell","Equity Shares","507400","0.05","10-Sep-2024","10-Sep-2024","12-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 17:35","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170889_1243992_16092024053531_WEB.xml"
"SAPPHIRE","Sapphire Foods India Limited","7(2)","Vikrant Vohra","Employees/Designated Employees","Equity Shares","16000","0.03",,"64000","0","Buy","Equity Shares","80000","0.03","05-Sep-2024","05-Sep-2024","16-Sep-2024","Others","-","-","0","0","0","0","NA","-","16-Sep-2024 17:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170887_1243969_16092024052236_WEB.xml"
"SAPPHIRE","Sapphire Foods India Limited","7(2)","Vikrant Vohra","Employees/Designated Employees","Equity Shares","80000","0.03",,"20000","6603000","Sell","Equity Shares","60000","0.02","13-Sep-2024","13-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 17:22","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170887_1243969_16092024052236_WEB.xml"
"JSFB","Jana Small Finance Bank Limited","7(2)","Nishi Kanwal","Immediate relative","Equity Shares","271000","0.26",,"200000","115000000","Pledge","Equity Shares","271000","0.26","12-Sep-2024","12-Sep-2024","13-Sep-2024","Pledge Creation","-","-","0","0","0","0","NA","-","16-Sep-2024 17:17","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170885_1243949_16092024051739_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","(Hony) Brig. Dr. Arvind Lal","Promoters","Equity Shares","25875443","30.96",,"130000","442569719","Sell","Equity Shares","25745443","30.8","12-Sep-2024","16-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 17:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170883_1243942_16092024051415_WEB.xml"
"LALPATHLAB","Dr. Lal Path Labs Ltd.","7(2)","Jai Prakash Meena","Employees/Designated Employees","Equity Shares","1000","0",,"1000","3420000","Sell","Equity Shares","Nil","0","13-Sep-2024","13-Sep-2024","16-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 17:14","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170883_1243942_16092024051415_WEB.xml"
"ADVENZYMES","Advanced Enzyme Technologies Limited","7(2)","Subhash Chakor","-","Equity Shares","26350","0.02",,"2350","1260885","Sell","Equity Shares","24000","0.02","12-Sep-2024","13-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 17:06","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170882_1243934_16092024050614_WEB.xml"
"MAPMYINDIA","C.E. Info Systems Limited","7(2)","Ashok Bhatt","-","Equity Shares","15590","0.03",,"2902","6150485","Sell","Equity Shares","12688","0.02","23-Aug-2024","13-Sep-2024","14-Sep-2024","Market Sale","-","-","0","0","0","0","NSE","-","16-Sep-2024 17:02","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170880_1243929_16092024050159_WEB.xml"
"NIITMTS","Niit Learning Systems Limited","7(2)","Sanjeev Bansal","-","Equity Shares","12216","0.01",,"6000","1062540","Buy","Equity Shares","18216","0.01","11-Sep-2024","11-Sep-2024","12-Sep-2024","ESOP","-","-","0","0","0","0","NA","-","16-Sep-2024 16:36","https://nsearchives.nseindia.com/corporate/xbrl/IT_1170876_1243907_16092024043643_WEB.xml"
